Timestamp,CPU_Usage,Memory_Usage,Network_Traffic,Is_Anomaly
2026-06-01 00:00:00,35.86,56.81,527.8,0
2026-06-01 01:00:00,37.2,58.8,557.3,0
2026-06-01 02:00:00,43.74,60.01,458.0,0
2026-06-01 03:00:00,43.05,60.09,516.9,0
2026-06-01 04:00:00,39.9,59.1,480.5,0
2026-06-01 05:00:00,40.59,61.25,485.4,0
2026-06-01 06:00:00,46.39,57.86,482.2,0
2026-06-01 07:00:00,37.04,59.72,474.1,0
2026-06-01 08:00:00,42.74,60.24,501.5,0
2026-06-01 09:00:00,38.99,61.03,475.1,0
2026-06-01 10:00:00,38.91,61.42,508.1,0
2026-06-01 11:00:00,45.49,57.75,498.5,0
2026-06-01 12:00:00,44.13,56.93,492.8,0
2026-06-01 13:00:00,44.07,62.56,472.8,0
2026-06-01 14:00:00,46.53,60.66,482.7,0
2026-06-01 15:00:00,40.11,58.5,522.7,0
2026-06-01 16:00:00,43.41,63.1,515.0,0
2026-06-01 17:00:00,38.45,60.23,470.7,0
2026-06-01 18:00:00,41.62,62.36,503.0,0
2026-06-01 19:00:00,39.35,60.14,522.5,0
2026-06-01 20:00:00,40.48,64.12,449.9,0
2026-06-01 21:00:00,42.98,63.51,516.3,0
2026-06-01 22:00:00,35.91,59.5,480.1,0
2026-06-01 23:00:00,50.46,61.94,517.1,0
2026-06-02 00:00:00,34.97,61.29,477.1,0
2026-06-02 01:00:00,33.93,62.74,445.9,0
2026-06-02 02:00:00,45.79,58.07,451.2,0
2026-06-02 03:00:00,43.96,61.37,501.4,0
2026-06-02 04:00:00,43.12,62.12,507.8,0
2026-06-02 05:00:00,43.14,56.48,472.9,0
2026-06-02 06:00:00,39.94,57.63,519.2,0
2026-06-02 07:00:00,35.51,55.92,450.2,0
2026-06-02 08:00:00,40.38,59.46,498.0,0
2026-06-02 09:00:00,36.61,61.44,463.7,0
2026-06-02 10:00:00,44.88,63.0,480.4,0
2026-06-02 11:00:00,39.26,60.15,501.4,0
2026-06-02 12:00:00,35.87,63.26,474.2,0
2026-06-02 13:00:00,38.39,57.24,488.5,0
2026-06-02 14:00:00,42.06,56.59,530.2,0
2026-06-02 15:00:00,37.18,59.89,482.7,0
2026-06-02 16:00:00,35.89,60.77,525.1,0
2026-06-02 17:00:00,41.22,59.93,466.1,0
2026-06-02 18:00:00,41.22,55.87,515.9,0
2026-06-02 19:00:00,37.47,59.82,543.2,0
2026-06-02 20:00:00,37.64,57.39,425.9,0
2026-06-02 21:00:00,41.16,61.34,476.1,0
2026-06-02 22:00:00,32.76,60.73,517.3,0
2026-06-02 23:00:00,32.96,58.12,493.9,0
2026-06-03 00:00:00,36.41,58.97,511.1,0
2026-06-03 01:00:00,38.93,57.88,481.9,0
2026-06-03 02:00:00,41.55,59.87,502.6,0
2026-06-03 03:00:00,47.38,61.91,495.3,0
2026-06-03 04:00:00,44.29,58.03,535.0,0
2026-06-03 05:00:00,39.2,61.01,507.6,0
2026-06-03 06:00:00,39.9,58.94,510.1,0
2026-06-03 07:00:00,34.99,58.41,487.6,0
2026-06-03 08:00:00,39.91,59.79,485.4,0
2026-06-03 09:00:00,38.56,57.93,487.0,0
2026-06-03 10:00:00,41.61,58.89,511.8,0
2026-06-03 11:00:00,35.86,57.6,487.4,0
2026-06-03 12:00:00,42.6,63.93,508.7,0
2026-06-03 13:00:00,47.66,60.07,562.3,0
2026-06-03 14:00:00,39.46,58.6,526.1,0
2026-06-03 15:00:00,42.01,60.43,490.2,0
2026-06-03 16:00:00,43.45,59.78,536.0,0
2026-06-03 17:00:00,37.99,59.56,487.8,0
2026-06-03 18:00:00,41.12,61.23,438.9,0
2026-06-03 19:00:00,40.06,61.52,469.8,0
2026-06-03 20:00:00,40.49,58.94,443.9,0
2026-06-03 21:00:00,36.13,58.85,489.5,0
2026-06-03 22:00:00,98.88,59.45,2687.7,1
2026-06-03 23:00:00,98.04,55.4,2422.6,1
2026-06-04 00:00:00,98.93,56.97,2375.5,1
2026-06-04 01:00:00,99.18,62.73,2322.1,1
2026-06-04 02:00:00,98.71,63.29,2649.6,1
2026-06-04 03:00:00,36.16,59.5,433.7,0
2026-06-04 04:00:00,44.36,61.15,507.1,0
2026-06-04 05:00:00,40.92,60.62,523.1,0
2026-06-04 06:00:00,50.95,66.16,455.6,0
2026-06-04 07:00:00,35.96,62.24,534.3,0
2026-06-04 08:00:00,35.8,59.74,510.2,0
2026-06-04 09:00:00,37.0,58.09,487.5,0
2026-06-04 10:00:00,29.38,56.79,519.0,0
2026-06-04 11:00:00,37.37,60.41,568.1,0
2026-06-04 12:00:00,36.2,58.49,505.5,0
2026-06-04 13:00:00,40.75,57.16,507.4,0
2026-06-04 14:00:00,41.71,58.71,486.2,0
2026-06-04 15:00:00,49.38,57.84,474.5,0
2026-06-04 16:00:00,44.75,63.37,524.9,0
2026-06-04 17:00:00,37.12,61.76,474.3,0
2026-06-04 18:00:00,35.51,59.98,502.1,0
2026-06-04 19:00:00,42.46,62.96,485.7,0
2026-06-04 20:00:00,33.4,60.15,514.4,0
2026-06-04 21:00:00,49.16,58.28,510.0,0
2026-06-04 22:00:00,45.9,63.05,531.1,0
2026-06-04 23:00:00,37.65,61.08,484.7,0
2026-06-05 00:00:00,31.43,57.93,491.9,0
2026-06-05 01:00:00,46.77,59.62,470.6,0
2026-06-05 02:00:00,39.43,58.25,486.7,0
2026-06-05 03:00:00,46.19,57.23,511.3,0
